"TargetID" "Type"
"cg00007324" "high"
"cg00034650" "high"
"cg00124836" "high"
"cg00145838" "high"
"cg00337968" "high"
"cg00387107" "high"
"cg00454856" "high"
"cg00545796" "high"
"cg00633933" "high"
"cg00737801" "high"
"cg01036050" "high"
"cg01225086" "high"
"cg01290644" "high"
"cg01385415" "high"
"cg01473128" "high"
"cg01776495" "high"
"cg01986757" "high"
"cg02008951" "high"
"cg02010324" "high"
"cg02164332" "high"
"cg02190678" "high"
"cg02261174" "high"
"cg02264195" "high"
"cg02480405" "high"
"cg02513392" "high"
"cg02602423" "high"
"cg02660119" "high"
"cg03015899" "high"
"cg03093076" "high"
"cg03147312" "high"
"cg03159563" "high"
"cg03382841" "high"
"cg03522766" "high"
"cg03620623" "high"
"cg03775240" "high"
"cg03800447" "high"
"cg03818569" "high"
"cg03935709" "high"
"cg04142643" "high"
"cg04296903" "high"
"cg04357685" "high"
"cg04361015" "high"
"cg04388767" "high"
"cg04423627" "high"
"cg04510807" "high"
"cg04527260" "high"
"cg04591132" "high"
"cg04670766" "high"
"cg04808658" "high"
"cg04990989" "high"
"cg05059458" "high"
"cg05107228" "high"
"cg05141709" "high"
"cg05247799" "high"
"cg05271536" "high"
"cg05289873" "high"
"cg05297692" "high"
"cg05540617" "high"
"cg05617300" "high"
"cg05813677" "high"
"cg05991342" "high"
"cg05992875" "high"
"cg06133459" "high"
"cg06338552" "high"
"cg06422464" "high"
"cg06517965" "high"
"cg06530270" "high"
"cg06540149" "high"
"cg06566039" "high"
"cg06680609" "high"
"cg06689990" "high"
"cg06768288" "high"
"cg06846819" "high"
"cg06857516" "high"
"cg06857845" "high"
"cg06900650" "high"
"cg07010340" "high"
"cg07023532" "high"
"cg07116312" "high"
"cg07172756" "high"
"cg07207053" "high"
"cg07215511" "high"
"cg07222059" "high"
"cg07341141" "high"
"cg07435269" "high"
"cg07508942" "high"
"cg07591937" "high"
"cg07697256" "high"
"cg07729303" "high"
"cg07738938" "high"
"cg07781087" "high"
"cg08042487" "high"
"cg08106487" "high"
"cg08123749" "high"
"cg08166513" "high"
"cg08198330" "high"
"cg08330572" "high"
"cg08498465" "high"
"cg08663109" "high"
"cg08779067" "high"
"cg08940097" "high"
"cg09138524" "high"
"cg09142414" "high"
"cg09268800" "high"
"cg09304136" "high"
"cg09377855" "high"
"cg09443652" "high"
"cg09528988" "high"
"cg09624953" "high"
"cg09869144" "high"
"cg10074347" "high"
"cg10106095" "high"
"cg10192483" "high"
"cg10242372" "high"
"cg10444066" "high"
"cg10464529" "high"
"cg10642957" "high"
"cg10782633" "high"
"cg10785099" "high"
"cg10925417" "high"
"cg11055242" "high"
"cg11369662" "high"
"cg11526462" "high"
"cg11709150" "high"
"cg11865882" "high"
"cg11972327" "high"
"cg11977919" "high"
"cg12044293" "high"
"cg12260801" "high"
"cg12439527" "high"
"cg12474748" "high"
"cg12577695" "high"
"cg12631105" "high"
"cg12680957" "high"
"cg12712270" "high"
"cg12984349" "high"
"cg13476777" "high"
"cg13488284" "high"
"cg13643966" "high"
"cg13662851" "high"
"cg13681781" "high"
"cg13686648" "high"
"cg13730859" "high"
"cg13735223" "high"
"cg13766489" "high"
"cg13798431" "high"
"cg14158690" "high"
"cg14354430" "high"
"cg14418275" "high"
"cg14522847" "high"
"cg14560339" "high"
"cg14563129" "high"
"cg14594859" "high"
"cg14977059" "high"
"cg15076328" "high"
"cg15369608" "high"
"cg15471825" "high"
"cg15483030" "high"
"cg15488660" "high"
"cg15637415" "high"
"cg15790839" "high"
"cg15862271" "high"
"cg15876513" "high"
"cg15969606" "high"
"cg16047223" "high"
"cg16108237" "high"
"cg16353608" "high"
"cg16385941" "high"
"cg16399855" "high"
"cg16553338" "high"
"cg16582214" "high"
"cg16706374" "high"
"cg16931447" "high"
"cg17086759" "high"
"cg17104099" "high"
"cg17129028" "high"
"cg17159680" "high"
"cg17522877" "high"
"cg17546196" "high"
"cg17561243" "high"
"cg17602885" "high"
"cg17608440" "high"
"cg17849156" "high"
"cg18005972" "high"
"cg18083305" "high"
"cg18099632" "high"
"cg18219878" "high"
"cg18429911" "high"
"cg18496502" "high"
"cg18505103" "high"
"cg18807030" "high"
"cg18936378" "high"
"cg18958339" "high"
"cg19092105" "high"
"cg19216660" "high"
"cg19275838" "high"
"cg19388017" "high"
"cg19431293" "high"
"cg19523618" "high"
"cg19597652" "high"
"cg19602374" "high"
"cg19614694" "high"
"cg19651246" "high"
"cg19697584" "high"
"cg19893071" "high"
"cg20000946" "high"
"cg20024953" "high"
"cg20078054" "high"
"cg20255817" "high"
"cg20348895" "high"
"cg20638357" "high"
"cg20735369" "high"
"cg20735914" "high"
"cg21171954" "high"
"cg21310731" "high"
"cg21333147" "high"
"cg21404792" "high"
"cg21433332" "high"
"cg21454386" "high"
"cg21528273" "high"
"cg21757314" "high"
"cg21834982" "high"
"cg21919790" "high"
"cg21928783" "high"
"cg21986781" "high"
"cg22022973" "high"
"cg22092111" "high"
"cg22308467" "high"
"cg22318948" "high"
"cg22332100" "high"
"cg22342925" "high"
"cg22654940" "high"
"cg22752049" "high"
"cg22902939" "high"
"cg22934677" "high"
"cg22939043" "high"
"cg22940273" "high"
"cg22985122" "high"
"cg23024824" "high"
"cg23053658" "high"
"cg23192255" "high"
"cg23245800" "high"
"cg23411318" "high"
"cg23419170" "high"
"cg23520889" "high"
"cg23586121" "high"
"cg23630758" "high"
"cg23688334" "high"
"cg23871388" "high"
"cg23946858" "high"
"cg24010988" "high"
"cg24063645" "high"
"cg24141991" "high"
"cg24247425" "high"
"cg24701867" "high"
"cg24858417" "high"
"cg25473203" "high"
"cg25551362" "high"
"cg25675027" "high"
"cg25686891" "high"
"cg25721452" "high"
"cg25729807" "high"
"cg25753567" "high"
"cg25770702" "high"
"cg25837207" "high"
"cg25942484" "high"
"cg26070281" "high"
"cg26159030" "high"
"cg26606899" "high"
"cg26675182" "high"
"cg26751440" "high"
"cg26804360" "high"
"cg26963044" "high"
"cg27143749" "high"
"cg27297626" "high"
"cg27336518" "high"
"cg27462497" "high"
"cg27554347" "high"
"cg27598661" "high"
"cg00085403" "low"
"cg00185622" "low"
"cg00254480" "low"
"cg00376019" "low"
"cg00601819" "low"
"cg00641632" "low"
"cg00671161" "low"
"cg00914462" "low"
"cg00948102" "low"
"cg01048244" "low"
"cg01067724" "low"
"cg01145420" "low"
"cg01215356" "low"
"cg01241758" "low"
"cg01273125" "low"
"cg01335729" "low"
"cg01349687" "low"
"cg01385230" "low"
"cg01453732" "low"
"cg01494303" "low"
"cg01619338" "low"
"cg01726902" "low"
"cg01791890" "low"
"cg01885050" "low"
"cg01964685" "low"
"cg01995078" "low"
"cg02076414" "low"
"cg02185053" "low"
"cg02267838" "low"
"cg02304656" "low"
"cg02308097" "low"
"cg02503501" "low"
"cg02506043" "low"
"cg02644301" "low"
"cg02705895" "low"
"cg02755475" "low"
"cg02852743" "low"
"cg02979741" "low"
"cg03001875" "low"
"cg03050687" "low"
"cg03170318" "low"
"cg03345567" "low"
"cg03470736" "low"
"cg03500911" "low"
"cg03560963" "low"
"cg03578822" "low"
"cg03658009" "low"
"cg03722586" "low"
"cg03891929" "low"
"cg03956367" "low"
"cg04301102" "low"
"cg04302946" "low"
"cg04552889" "low"
"cg04565617" "low"
"cg04570604" "low"
"cg04604806" "low"
"cg04664127" "low"
"cg04721812" "low"
"cg04789385" "low"
"cg04943085" "low"
"cg04988224" "low"
"cg05313302" "low"
"cg05351267" "low"
"cg05360176" "low"
"cg05370860" "low"
"cg05518022" "low"
"cg05526886" "low"
"cg05659223" "low"
"cg05805973" "low"
"cg05885020" "low"
"cg05890887" "low"
"cg05900430" "low"
"cg05930370" "low"
"cg06031740" "low"
"cg06073402" "low"
"cg06528830" "low"
"cg06545189" "low"
"cg06709324" "low"
"cg06761793" "low"
"cg06762403" "low"
"cg07013940" "low"
"cg07187135" "low"
"cg07243103" "low"
"cg07305938" "low"
"cg07327202" "low"
"cg07344955" "low"
"cg07523536" "low"
"cg07643904" "low"
"cg07891619" "low"
"cg07911463" "low"
"cg08140634" "low"
"cg08231603" "low"
"cg08478177" "low"
"cg08501533" "low"
"cg08550615" "low"
"cg08592530" "low"
"cg08596637" "low"
"cg08634762" "low"
"cg08888249" "low"
"cg08893650" "low"
"cg09048084" "low"
"cg09281601" "low"
"cg09305577" "low"
"cg09317102" "low"
"cg09413064" "low"
"cg09677724" "low"
"cg09704584" "low"
"cg09705885" "low"
"cg09848405" "low"
"cg09876101" "low"
"cg10038679" "low"
"cg10063233" "low"
"cg10097813" "low"
"cg10238396" "low"
"cg10279794" "low"
"cg10474368" "low"
"cg10692290" "low"
"cg10706910" "low"
"cg10711039" "low"
"cg10819847" "low"
"cg10886005" "low"
"cg11004797" "low"
"cg11029501" "low"
"cg11135720" "low"
"cg11186962" "low"
"cg11219407" "low"
"cg11279488" "low"
"cg11282895" "low"
"cg11298989" "low"
"cg11327054" "low"
"cg11495060" "low"
"cg11542469" "low"
"cg11592951" "low"
"cg11602546" "low"
"cg11717700" "low"
"cg11820558" "low"
"cg11843606" "low"
"cg11888757" "low"
"cg11973052" "low"
"cg12103840" "low"
"cg12201164" "low"
"cg12296218" "low"
"cg12396054" "low"
"cg12435494" "low"
"cg12500284" "low"
"cg12667888" "low"
"cg12824106" "low"
"cg12999837" "low"
"cg13064914" "low"
"cg13220109" "low"
"cg13421935" "low"
"cg13475699" "low"
"cg13735691" "low"
"cg13739116" "low"
"cg13759808" "low"
"cg13796518" "low"
"cg13904018" "low"
"cg13949903" "low"
"cg13979873" "low"
"cg14096051" "low"
"cg14181223" "low"
"cg14434408" "low"
"cg14510301" "low"
"cg14657818" "low"
"cg14658285" "low"
"cg14764050" "low"
"cg14881459" "low"
"cg14938514" "low"
"cg15030294" "low"
"cg15056687" "low"
"cg15116388" "low"
"cg15125265" "low"
"cg15256944" "low"
"cg15559560" "low"
"cg15703070" "low"
"cg15715881" "low"
"cg15822546" "low"
"cg15878471" "low"
"cg15886728" "low"
"cg15988263" "low"
"cg16087430" "low"
"cg16102016" "low"
"cg16202187" "low"
"cg16271912" "low"
"cg16315238" "low"
"cg16395712" "low"
"cg16568530" "low"
"cg16675029" "low"
"cg16687447" "low"
"cg16695835" "low"
"cg16793043" "low"
"cg16830966" "low"
"cg17105604" "low"
"cg17155907" "low"
"cg17304878" "low"
"cg17459893" "low"
"cg17547812" "low"
"cg17555712" "low"
"cg17753496" "low"
"cg17938371" "low"
"cg18060685" "low"
"cg18082014" "low"
"cg18147309" "low"
"cg18198707" "low"
"cg18413891" "low"
"cg18473153" "low"
"cg18576635" "low"
"cg18615052" "low"
